id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3083,Room #2 - West Oakland,3518,Traci,,Prescott,37.81013,-122.29266,Private room,125,1,78,2025-08-28,0.57,7,87,12,
5739,Mod Studio,9276,Leah And Gyorgy,,Adams Point,37.81266314006893,-122.25804724258587,Entire home/apt,95,4,333,2025-08-18,1.69,1,243,6,
24916,Studio w/garden and Patio close to Rockridge,98716,Judy,,Piedmont Avenue,37.83169,-122.25175,Entire home/apt,92,4,147,2025-09-01,0.79,2,194,2,
29521,Elegant Rockridge Home,124220,Kymi,,Shafter,37.83618,-122.25581,Entire home/apt,250,5,50,2025-08-07,0.29,1,25,9,
30026,Temescal sunny townhome w/views every room 3 decks,98716,Judy,,Temescal,37.8345,-122.26264,Entire home/apt,167,21,4,2023-06-12,0.03,2,269,0,
36702,North Oakland craftsman bungalow,119361,Vito,,Bushrod,37.84219,-122.26779,Entire home/apt,125,7,42,2025-04-23,0.23,1,269,3,
46908,Beautiful Tropical Modern Bungalow,210654,Mercedes,,Upper Dimond,37.80252,-122.20828,Entire home/apt,170,30,29,2025-03-01,0.35,2,94,4,
56645,Huge BnB Style Bedroom w/Frig/Microwave,268781,Pam,,Millsmont,37.7769,-122.18037,Private room,48,30,45,2024-10-31,0.44,4,290,1,
85974,Modern Sunny Rockridge Cottage,471600,Ericka,,Shafter,37.84211,-122.25203,Entire home/apt,140,3,257,2025-05-19,1.47,1,268,7,
136250,"Miniature House, Studio Style, SAFE Neighborhood",667229,Mark,,Merriwood,37.83699,-122.21452,Entire home/apt,,180,14,2024-06-17,0.13,1,173,0,
151422,Walkable Best Area ~ Green Sanctuary w/ porch,729004,Amy,,Adams Point,37.81089,-122.25396,Entire home/apt,144,1,9,2022-07-09,0.07,1,262,0,
155368,Art Filled Oakland Hills Beauty,728977,Susan,,Upper Rockridge,37.84419,-122.23405,Entire home/apt,200,3,310,2024-08-24,1.79,1,169,0,
169599,Charming Garden Oasis 1bd apt.,808353,Marlene,,Millsmont,37.77847,-122.17615,Entire home/apt,95,2,191,2024-09-15,1.11,1,292,0,
208186,"Private room with bath, and cat!",1024552,LaurieAnn,,Cleveland Heights,37.80732,-122.24293,Private room,66,3,312,2025-08-21,1.84,2,158,5,
267025,"Contemporary Garden Studio Apt, walk to BART",1400283,Cristi,,Longfellow,37.83406,-122.26856,Entire home/apt,,2,33,2023-11-19,0.24,1,0,0,
341704,Temescal - 2 Bedroom Craftsman - Great Location,1700817,Jennifer,,Temescal,37.83461,-122.25536,Entire home/apt,124,4,28,2017-12-31,0.17,1,147,0,
387039,Quiet Sunny Studio. Top Floor. $1750,1936623,D Trevor,,Bushrod,37.84225,-122.26756,Private room,69,60,20,2022-09-30,0.12,4,343,0,
387040,Big quiet sunny garden apt $2499/mo,1936623,D Trevor,,Bushrod,37.84214,-122.26748,Entire home/apt,99,30,8,2015-08-31,0.06,4,56,0,
401929,Best of Temescal and Mins to SF,2006190,Daphne,,Temescal,37.83178,-122.26427,Entire home/apt,118,30,0,,,1,51,0,
470028,Historic Maybeck Estate and Botanical Garden,1748565,Foster,,Upper Rockridge,37.85138,-122.23584,Entire home/apt,,4,8,2018-04-21,0.06,1,365,0,
503632,"Private Rockridge 2BR Flat - Artsy, Light & Comfy",1481714,Susie,,Shafter,37.83885,-122.25628,Entire home/apt,167,3,245,2025-09-15,1.52,1,50,26,
504137,Sunny bedroom w/ Tuscan patio view,2486127,Serena,,Sausal Creek,37.79756,-122.22064,Private room,72,7,15,2023-11-01,0.09,1,359,0,
506630,"Sunny & Fabulous 4 BR, 2.5 Bath Piedmont Home",674777,Kelly,,Piedmont,37.81822,-122.23509,Entire home/apt,570,5,5,2019-07-29,0.03,1,345,0,
510260,Extra gluten and free bed bugs!,176669,Barbara,,Longfellow,37.83388,-122.27236,Private room,55,1,423,2024-08-27,2.62,1,70,0,
515183,Modern Redwood Oasis in Rockridge,266136,Stephen,,Shafter,37.842,-122.25807,Entire home/apt,208,3,42,2024-12-28,0.27,1,116,1,
518786,Sunny craftsman home in Rockridge,1272555,Amy,,Shafter,37.84171,-122.25377,Entire home/apt,495,3,16,2025-07-28,0.19,2,267,2,
527348,Sweet sunny Oakland carriage house,627498,Monika,,Castlemont,37.7535,-122.16069,Entire home/apt,89,2,39,2021-08-30,0.24,1,160,0,
541975,Charming Cozy Canyon Condo,1905683,Patricia,,Merriwood,37.85391,-122.21926,Entire home/apt,2160,365,28,2016-02-23,0.18,1,359,0,
566065,Live in a Grove of Redwood Trees,2783571,Stella,,Shepherd Canyon,37.8348,-122.18895,Entire home/apt,52,21,37,2025-08-20,0.25,1,267,3,
583395,Montclair Private Garden Studio,2318042,Karen,,Montclair,37.832,-122.20522,Entire home/apt,88,2,408,2025-08-10,2.55,1,340,22,
